,Time,T_comp(ºC),T_evap (ºC),T_cond (ºC),Tint-Text (ºC),T_air,T_ext,T_int
57,2019-11-07 07:05:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
58,2019-11-07 07:05:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
59,2019-11-07 07:05:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
60,2019-11-07 07:06:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
61,2019-11-07 07:06:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
62,2019-11-07 07:06:12,44.5054761904762,33.53261904761905,8.334047619047624,10.0,54.5054761904762,18.334047619047624,43.53261904761905
63,2019-11-07 07:06:18,44.5054761904762,33.53261904761905,5.665952380952376,10.0,54.5054761904762,15.665952380952376,43.53261904761905
64,2019-11-07 07:06:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
65,2019-11-07 07:06:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
66,2019-11-07 07:06:36,44.5054761904762,33.53261904761905,5.665952380952376,10.0,54.5054761904762,15.665952380952376,43.53261904761905
67,2019-11-07 07:06:42,43.0,35.0,7.0,10.0,53.0,17.0,45.0
68,2019-11-07 07:06:48,41.4945238095238,36.46738095238095,5.665952380952376,10.0,51.4945238095238,15.665952380952376,46.46738095238095
69,2019-11-07 07:06:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
70,2019-11-07 07:07:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
71,2019-11-07 07:07:06,41.4945238095238,36.46738095238095,8.334047619047624,10.0,51.4945238095238,18.334047619047624,46.46738095238095
72,2019-11-07 07:07:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
73,2019-11-07 07:07:18,41.4945238095238,33.53261904761905,8.334047619047624,10.0,51.4945238095238,18.334047619047624,43.53261904761905
74,2019-11-07 07:07:24,43.0,35.0,7.0,10.0,53.0,17.0,45.0
75,2019-11-07 07:07:30,43.0,35.0,7.0,10.0,53.0,17.0,45.0
76,2019-11-07 07:07:36,43.0,35.0,7.0,10.0,53.0,17.0,45.0
77,2019-11-07 07:07:42,44.5054761904762,33.53261904761905,8.334047619047624,10.0,54.5054761904762,18.334047619047624,43.53261904761905
78,2019-11-07 07:07:48,43.0,35.0,7.0,10.0,53.0,17.0,45.0
79,2019-11-07 07:07:54,43.0,35.0,7.0,10.0,53.0,17.0,45.0
80,2019-11-07 07:08:00,43.0,35.0,7.0,10.0,53.0,17.0,45.0
81,2019-11-07 07:08:06,43.0,35.0,7.0,10.0,53.0,17.0,45.0
82,2019-11-07 07:08:12,43.0,35.0,7.0,10.0,53.0,17.0,45.0
